id,category,shape,shape_type,triples,lexicalization,prefix
8158,WrittenWork,(X (X) (X) (X)),sibling,"[<S> 1634: The Bavarian Crisis <P> author <O> Eric Flint, <S> 1634: The Bavarian Crisis <P> language <O> English language, <S> 1634: The Bavarian Crisis <P> precededBy <O> Grantville Gazette III]","""1634: Ysgrifennwyd y Crisis Bawerin gan Eric Flint yn Saesneg ac roedd Grantville Gazette III yn ei flaen. "" ""Eric Flint ysgrifennodd y llyfr ""1634: The Bavary Crisis"" yn Saesneg.",Welsh
8057,SportsTeam,(X (X) (X) (X)),sibling,"[<S> Agremiação Sportiva Arapiraquense <P> nickname <O> ""''Alvinegro"", <S> Agremiação Sportiva Arapiraquense <P> season <O> 2015, <S> Agremiação Sportiva Arapiraquense <P> numberOfMembers <O> 17000]","""Mae'r enw'r Agremiacao Sportiva Arapiraquense yn ""Alvinegro"", maen nhw'n chwarae yn 2015 ac maent yn chwarae yn 2015.",Welsh
8250,WrittenWork,(X (X) (X (X))),mixed,"[<S> A Loyal Character Dancer <P> publisher <O> Soho Press, <S> A Loyal Character Dancer <P> country <O> United States, <S> United States <P> leader <O> Barack Obama]","""Mae Soho Press yn cyhoeddi ""A Loyal Character Dancer"" yn yr Unol Daleithiau, a'r arweinydd yw Barack Obama. """,Welsh
3887,CelestialBody,(X (X (X) (X) (X))),mixed,"[<S> 107 Camilla <P> discoverer <O> N. R. Pogson, <S> N. R. Pogson <P> deathPlace <O> Chennai, <S> N. R. Pogson <P> birthPlace <O> Nottingham, <S> N. R. Pogson <P> nationality <O> England]","""Bodd Norman Robert Pogson yn ddinasydd y Deyrnas Unedig a ddarganfod (107) Camilla. """,Welsh
3951,Building,(X (X) (X)),sibling,"[<S> Akita Museum of Art <P> country <O> Japan, <S> Akita Museum of Art <P> location <O> Akita, Akita]","""Mae Gwresydd Gelf Akita yn Akita, Japan. "" ""Mae Gwresydd Gelf Akita yn Akita, Akita, Japan. """,Welsh
2472,Astronaut,(X (X) (X) (X)),sibling,"[<S> Alan Bean <P> nationality <O> United States, <S> Alan Bean <P> mission <O> Apollo 12, <S> Alan Bean <P> selectedByNasa <O> 1963]","""Byn oedd un o'r Americanaid, a enwylir gan NASA yn 1963 yn y cyfansoddiad o'r ekipas ""Apollon-12"". ""Byn, a anwyd yn yr Unol Daleithiau America, a ddewiswyd gan NASA yn 1963 a gwasanaethu fel aelod o'r ekipas ""Apollon-12"".",Welsh
13149,Monument,(X (X) (X) (X (X) (X) (X) (X))),mixed,"[<S> Dead Man's Plack <P> location <O> England, <S> England <P> ethnicGroup <O> British Arabs, <S> England <P> capital <O> London, <S> Dead Man's Plack <P> dedicatedTo <O> Æthelwald, Ealdorman of East Anglia, <S> England <P> language <O> Cornish language, <S> England <P> religion <O> Church of England, <S> Dead Man's Plack <P> material <O> Rock (geology)]","""Mae'r Pladr Dyn marw yn seinnog gwraig a ddarganfod yn Lloegr ac a'i ymroddiad i Aethelwald, Ealdorman o Gorllewin Anglia. Un o grwpiau ethnig y wlad yw'r Arabaid Brydeinig, ac mae Eglwys Lloegr yn y crefydd swyddogol. Mae'r iaith Cornish yn cael ei siarad eto mewn rhannau o'r wlad.",Welsh
1824,ComicsCharacter,(X (X (X))),chain,"[<S> Baymax <P> series <O> Big Hero 6 (film), <S> Big Hero 6 (film) <P> starring <O> Damon Wayans, Jr.]","""W Horode Heroes, gyda chymeriad o Damon Wayans-mlad, mae personaj Baymax. "", ""Baymax - personaj ""Horoda heroes"" - chwaraeodd actor Damon Wayans-mlad. "", ""W film ""Horoda heroes"", yn y mae Damon Wayans-mlad yn chwarae, mae yna herwr ar enw Baymax. """,Welsh
729,ComicsCharacter,(X (X)),,[<S> Big Hero 6 (film) <P> starring <O> Scott Adsit],"""Yn y ffilm ""Heroes y Ddinas"" mae Scott Adsit yn cael ei snigio.",Welsh
1360,City,(X (X)),,"[<S> Albany, Georgia <P> isPartOf <O> Dougherty County, Georgia]","""Mae Albany yn ddinas yn Sir Dougherty, Georgia. "" ""Mae Albany yn rhan o Sir Dougherty yn Georgia. "" ""Mae Albany yn ardal Dougherty, Georgia. """,Welsh
386,Artist,(X (X)),,[<S> Alan Frew <P> birthYear <O> 1956],"""Gwelir Alan Frew yn 1956. """,Welsh
5636,WrittenWork,(X (X) (X)),sibling,"[<S> American Journal of Mathematics <P> firstPublicationYear <O> 1878, <S> American Journal of Mathematics <P> abbreviation <O> ""Am. J. Math.""]","""Am. J. Math yw'r ymrif i'r American Journal of Mathematics a gyhoeddwyd gyntaf yn 1878."" ""The American Journal of Mathematics, yn cael ei gyfyngu i Am. J. Mathematics, a gyhoeddwyd gyntaf yn 1878."" ""The American Journal of Mathematics a gyhoeddwyd gyntaf yn 1878 ac mae hefyd yn cael ei adnabod gan y teitl gyfyngedig Am. J. Mathematics"".",Welsh
11155,Artist,(X (X) (X) (X) (X) (X)),sibling,"[<S> Aaron Deer <P> genre <O> Indie rock, <S> Aaron Deer <P> background <O> ""solo singer"", <S> Aaron Deer <P> origin <O> Indiana, <S> Aaron Deer <P> origin <O> United States, <S> Aaron Deer <P> associatedBand/associatedMusicalArtist <O> John Wilkes Booze]","""Mae Aaron Deer yn seincwr solo o Indiana, yr Unol Daleithiau. Mae'n gerddor i'r band John Wilkes Booze. """", Aaron Deer fel seincwr rock yn unig sy'n dod o Indiana yn yr Unol Daleithiau. Mae'n seincwr solo a seincwr i'r band John Wilkes Booze. """,Welsh
3821,Athlete,(X (X (X))),chain,"[<S> Canada <P> anthem <O> O Canada, <S> Aaron Boogaard <P> birthPlace <O> Canada]","""Roedd Aaron Boogaard yn cael ei eni yn Canada, lle mae'r hymn genedlaethol yn 'O Canada'."", ""Roedd Aaron Boogaard yn cael ei eni yn Canada lle mae'r hymn genedlaethol yn cael ei alw'n 'O Canada.'"", ""Mae lle geni Aaron Boogaard yn Canada lle mae'r hymn genedlaethol yn 'O Canada.' """,Welsh
11790,City,(X (X) (X) (X) (X) (X)),sibling,"[<S> Albany, Georgia <P> areaCode <O> 229, <S> Albany, Georgia <P> elevationAboveTheSeaLevel <O> 62.0, <S> Albany, Georgia <P> populationDensity <O> 535.0 (inhabitants per square kilometre), <S> Albany, Georgia <P> isPartOf <O> United States, <S> Albany, Georgia <P> areaTotal <O> 144.7 (square kilometres)]","""Mae Albany yn cael ei leoli yn Georgia, Unol Daleithiau ar 62.0 uwchben lefel y môr. Mae cythbwysedd poblogaeth yn 535 poblogaeth bob chwarter km o fewn ardal gyfanswm o 144.7 chwarter km. """,Welsh
10456,Politician,(X (X (X)) (X (X))),mixed,"[<S> Airey Neave <P> unit <O> Royal Artillery, <S> Royal Artillery <P> garrison <O> Hohne, <S> Airey Neave <P> battle <O> World War II, <S> World War II <P> commander <O> Franklin D. Roosevelt]","""Roedd Airey Neave yn ymladd yn yr Ail Ryfel Byd lle roedd Franklin D. Roosevelt fel gorchymynydd. Roedd uned Neave yn y Artillery Brenhinol sydd â'i garnigion yn Hohne. """,Welsh
12405,MeanOfTransportation,(X (X (X (X (X) (X))))),mixed,"[<S> Germany <P> capital <O> Berlin, <S> Germany <P> leader <O> Stanislaw Tillich, <S> Neptun Werft <P> city <O> Rostock, <S> Rostock <P> country <O> Germany, <S> A-Rosa Luna <P> builder <O> Neptun Werft]","""Mae Neptun Werft, a adeiladodd y crafti A-Rosa Luna, yn cael ei bencaddio yn Rostock, yr Almaen. Mae Berlin yn brifddinas yr Almaen a elwir gan Stanislaw Tillich. """,Welsh
2850,ComicsCharacter,(X (X) (X (X))),mixed,"[<S> Ben Urich <P> creator <O> Roger McKenzie (comic book writer), <S> Roger McKenzie (comic book writer) <P> nationality <O> United States, <S> Ben Urich <P> creator <O> Gene Colan]","""Gweithiwyd Personage Comics gan Jin Kolan a'r Ysgrifennydd Comics, Roger Mackenzie, sydd yn ddinasydd yr Unol Daleithiau. """,Welsh
12556,Politician,(X (X) (X (X)) (X (X))),mixed,"[<S> Albert B. White <P> spouse <O> Agnes Ward White, <S> Agnes Ward White <P> birthPlace <O> Marietta, Ohio, <S> Albert B. White <P> birthPlace <O> Cleveland, <S> Albert B. White <P> successor <O> William M. O. Dawson, <S> William M. O. Dawson <P> deathPlace <O> Charleston, West Virginia]","""Roedd Albert B. White wedi cael ei eni yn Cleveland a'i wraig Agnes Ward White wedi'i eni yn Marietta, Ohio. Cafodd William M. O. Dawson ei ddisodli yn swydd gan William M. O. Dawson a fu farw yn ddiweddarach yn Charleston, West Virginia.",Welsh
4536,Food,(X (X) (X)),sibling,"[<S> Arròs negre <P> country <O> Spain, <S> Arròs negre <P> ingredient <O> Cephalopod ink]","""Mae inc cephalopod yn gynhwysedd yn y ddŵr Arros negre sy'n o Spain"".",Welsh
2433,Airport,(X (X (X) (X))),mixed,"[<S> Appleton International Airport <P> location <O> Greenville, Wisconsin, <S> Greenville, Wisconsin <P> isPartOf <O> Dale, Wisconsin, <S> Greenville, Wisconsin <P> country <O> United States]","""Grinville, Wisconsin, - rhan o Deil, Wisconsin, sydd yn Unol Daleithiau America. Mae'n gwasanaethu Aeroport Rhyngwladol Epleton. """,Welsh
9644,ComicsCharacter,(X (X (X)) (X (X))),mixed,"[<S> Duncan Rouleau <P> nationality <O> Americans, <S> Baymax <P> creator <O> Duncan Rouleau, <S> Baymax <P> series <O> Big Hero 6 (film), <S> Big Hero 6 (film) <P> starring <O> Scott Adsit]","""Mae Baymax yn gymeriad yn y ffilm Big Hero 6 a oedd yn chwarae gan Scott Adsit. Mae creadur Baymax yn y Americanaidd, Duncan Rouleau. """,Welsh
8695,Artist,(X (X) (X (X) (X))),mixed,"[<S> Albennie Jones <P> activeYearsStartYear <O> 1930, <S> Albennie Jones <P> genre <O> Rhythm and blues, <S> Rhythm and blues <P> stylisticOrigin <O> Blues, <S> Rhythm and blues <P> derivative <O> Disco]","""Mae artistiwr rhythm and blues Albennie Jones wedi dechrau yn 1930. Mae R & B yn wreiddiol o blues ac yn rhoi ei hun i disco. """,Welsh
5291,SportsTeam,(X (X (X))),chain,"[<S> A.C. Lumezzane <P> manager <O> Michele Marcolini, <S> Michele Marcolini <P> club <O> Atalanta B.C.]","""Mae Michel Marcolini yn rheoli AC Lumezzane ac yn chwarae ar gyfer Atalanta BC"", ""Mae Michel Marcolini wedi rheoli AC Lumezzane.",Welsh
8397,WrittenWork,(X (X (X) (X))),mixed,"[<S> United States <P> leaderTitle <O> President of the United States, <S> United States <P> ethnicGroup <O> Asian Americans, <S> A Severed Wasp <P> country <O> United States]","""Mae Americainwyr Asiaidd yn un o'r grwpiau ethnig yn yr Unol Daleithiau lle mae'r arweinydd yn cael ei alw'n y Llywydd. Mae hefyd yn lle mae 'A Severed Wasp' yn dod o. """,Welsh
10629,SportsTeam,(X (X) (X) (X) (X)),sibling,"[<S> A.S. Livorno Calcio <P> ground <O> Stadio Armando Picchi, <S> A.S. Livorno Calcio <P> numberOfMembers <O> 19238, <S> A.S. Livorno Calcio <P> season <O> 2014–15 Serie B, <S> A.S. Livorno Calcio <P> fullName <O> ""Associazione Sportiva""]","""Mae'r Stadio Armando Picchi yn dir cartref AS Livorno Calcio a chwaraeodd yn y tymor 2014-15 Serie B. Mae ganddynt 19,238 aelod ac enw llawn y clwb yw Associazione Sportiva"".",Welsh
9731,Food,(X (X) (X) (X) (X)),sibling,"[<S> Arem-arem <P> country <O> Indonesia, <S> Arem-arem <P> ingredient <O> Banana leaf, <S> Arem-arem <P> mainIngredient <O> ""compressed rice cooked in banana leaf with vegetables or minced meat fillings"", <S> Arem-arem <P> region <O> ""Nationwide in Indonesia, but more specific to Java""]","""Mae arem-arem yn dod o Indonesia, ond yn fwy penodol i Java ac mae'r cynhwysion yn rysis cwymp sydd wedi'i coginio mewn llysg o bananas gyda gwyrdd neu llenwi cig wedi'i dorri."", ""Mae arem-arem yn wreiddiol o Indonesia, ond yn fwy penodol i Java. Mae ei brif gynhwysion yn rysis cwymp, wedi'i coginio mewn llysg o bananas gyda gwyrdd neu llenwi cig wedi'i dorri.",Welsh
12983,University,(X (X) (X) (X) (X) (X) (X)),sibling,"[<S> Accademia di Architettura di Mendrisio <P> country <O> Switzerland, <S> Accademia di Architettura di Mendrisio <P> numberOfStudents <O> 600, <S> Accademia di Architettura di Mendrisio <P> city <O> Mendrisio, <S> Accademia di Architettura di Mendrisio <P> established <O> 1996, <S> Accademia di Architettura di Mendrisio <P> academicStaffSize <O> 100, <S> Accademia di Architettura di Mendrisio <P> location <O> Ticino]","""Mae Academia di Architettura di Mendrisio yn cael ei leoli yn Ticino, Mendrisio, yr Awysur. Mae ganddo staff academaidd 100 a myfyrwyr 600. Cafodd ei sefydlu yn 1996.",Welsh
2206,MeanOfTransportation,(X (X)),,[<S> Argentina <P> capital <O> Buenos Aires],"""Mae Buenos Aires yn brifddinas Argentina. """,Welsh
7379,Food,(X (X (X) (X))),mixed,"[<S> Philippines <P> language <O> Philippine English, <S> Batchoy <P> country <O> Philippines, <S> Philippines <P> ethnicGroup <O> Moro people]","""Mae pobl Moro yn grŵp ethnig yn y Ffilipinau, lle caiff Saesneg y Ffilipinau ei siarad ac mae Batchoy yn dod o'r Ffilipinau"".",Welsh
832,Athlete,(X (X)),,[<S> Alex Plante <P> birthYear <O> 1989],"""Cerwyd Alex Plante yn 1989. """,Welsh
11073,Airport,(X (X) (X) (X) (X) (X)),sibling,"[<S> Angola International Airport <P> location <O> Ícolo e Bengo, <S> Angola International Airport <P> cityServed <O> Luanda, <S> Angola International Airport <P> runwayLength <O> 4000.0, <S> Angola International Airport <P> elevationAboveTheSeaLevelInMetres <O> 159, <S> Angola International Airport <P> runwayName <O> ""05L/23R""]","""Mae Arfordir Rhyngwladol Angola yn cael ei leoli yn Ícolo e Bengo, Luanda. Mae'r llwybr 05L/23R yn 4000 troedfedd ac 159m o hyd"", ""Mae Arfordir Rhyngwladol Angola yn Ícolo e Bengo, Luanda yn 159 metr uwchben lefel y môr. Mae ei llwybr wedi'i henwi yn 05L/23R ac mae'n 4000.0 o hyd"", ""Mae enw llwybr Arfordir Rhyngwladol Angola, sydd wedi'i leoli 159 metr uwchben lefel y môr yn Icolo e B",Welsh
1827,ComicsCharacter,(X (X (X))),chain,"[<S> Baymax <P> series <O> Big Hero 6 (film), <S> Big Hero 6 (film) <P> starring <O> Scott Adsit]","""Bymaks - cymeriad yn ""Dinas Heroes"", Scott Adsit yn cael ei snigio yn y ffilm ""Dinas Heroes""."", ""Bymaks - cymeriad yn y ffilm Dinas Heroes, yn y ffilm a snigwyd Scott Adsit."", ""Bymaks - cymeriad yn Dinas Heroes, yn y roliau Scott Adsit"".",Welsh
1306,CelestialBody,(X (X)),,[<S> 1101 Clematis <P> escapeVelocity <O> 0.02 (kilometrePerSeconds)],"""Mae cyflymder gwared 1101 Clematis yn 0.02 km/sec."", ""1101 Clematis yn cael cyflymder gwared 0.02 km/s."", ""Mae gan y corff nefoedd a elwir fel 1101 Clematis cyflymder gwared 0.02 k.p.s"".",Welsh
4722,Food,(X (X) (X)),sibling,"[<S> Bionico <P> country <O> Mexico, <S> Bionico <P> ingredient <O> Sour cream]","""Mae crem acyn yn gynhwysion a ddefnyddir wrth baratoi Bionico sy'n ddŵr bwyd Mecsico. "" ""Mae crem acyn yn cynhwysion o Bionico, bwyd a ddarperir yn Mexico. "" ""Mae Bionico yn bwyd a ddarperir yn Mexico, mae'n cynnwys crem acyn"".",Welsh
7200,Food,(X (X) (X) (X)),sibling,"[<S> Bacon sandwich <P> country <O> United Kingdom, <S> Bacon sandwich <P> alternativeName <O> ""Bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm, bacon muffin"", <S> Bacon sandwich <P> ingredient <O> Bacon]","""Mae sandwich bacon yn boblogaidd yn y DU, mae'r sandwich bacon yn cynnwys y cynhwysion bacon ac mae'n gallu cael ei adnabod hefyd fel bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm, neu bacon muffin.",Welsh
1673,ComicsCharacter,(X (X)),,"[<S> The Arrow (comicsCharacter) <P> alternativeName <O> ""Ralph Payne""]","""Mae'r Arrow yn cael ei adnabod fel Ralph Payne. "" ""Mae'r enw arall i'r cymeriad cric, y Arrow, yn Ralph Payne. """,Welsh
12247,Food,(X (X (X) (X) (X) (X))),mixed,"[<S> Italy <P> leader <O> Pietro Grasso, <S> Italy <P> capital <O> Rome, <S> Italy <P> leader <O> Matteo Renzi, <S> Amatriciana sauce <P> country <O> Italy, <S> Italy <P> language <O> Italian language]","""Matteo Renzi a Pietro Grasso yw arweinwyr yn yr Eidal lle mae'r Italians yn siarad. Mae hefyd yn lle mae Rhufeirnam yn y brifddinas ac mae sos Amatriciana yn dod o. """", ""Mae'r Eidal yn cael ei arwain gan Pietro Grasso a'r iaith a siaradir yn y wlad yn yr Eidal. Mae Matteo Renzi yn arweinydd o Eidal sydd â Rhufeirnam fel ei brifddinas ac lle gallwch ddod o hyd i sos amatriciana. """", ""Mae Pietro Grasso a Mat",Welsh
11400,Astronaut,(X (X) (X) (X) (X) (X)),sibling,"[<S> Alan Shepard <P> almaMater <O> ""NWC, M.A. 1957"", <S> Alan Shepard <P> deathPlace <O> California, <S> Alan Shepard <P> birthPlace <O> New Hampshire, <S> Alan Shepard <P> selectedByNasa <O> 1959, <S> Alan Shepard <P> nationality <O> United States]","""Roedd Alan Shepard yn astronawd Americanaidd. Cafodd ei geni yn New Hampshire yn 1959. Graddodd o NWC gyda M.A. yn 1957. Yn 1959 cafodd ei ddewis gan NASA. Bu farw Alan Shepard yn California. """,Welsh
5785,Airport,(X (X (X (X)))),chain,"[<S> Antwerp International Airport <P> cityServed <O> Antwerp, <S> Antwerp <P> country <O> Belgium, <S> Belgium <P> capital <O> City of Brussels]","""Mae Arfordir Rhyngwladol Antwerp yn gwasanaethu ddinas Antwerp sydd yn Belg, lle mae'r brifddinas yn Brussels.",Welsh
1198,SportsTeam,(X (X)),,[<S> Greece <P> language <O> Greek language],"""Greckias language - language of Greece. """", ""V Greecii говорят по-Grečki. "", ""Язык, на котором говорят в Греции, - grec"".",Welsh
92,Airport,(X (X)),,[<S> Allama Iqbal International Airport <P> runwayLength <O> 3310.0],"""Mae hyd y llwybr o Arfaeth Ryngwladol Allama Iqbal yn 3,310."", ""Mae hyd y llwybr arfaeth Arfaeth Ryngwladol Allama Iqbal yn 3310.0."", ""Mae hyd y llwybr arfaeth Arfaeth Ryngwladol Allama Iqbal yn 3310.0.""",Welsh
10187,MeanOfTransportation,(X (X) (X (X) (X))),mixed,"[<S> Aston Martin V8 <P> relatedMeanOfTransportation <O> Aston Martin DBS, <S> Aston Martin DBS <P> successor <O> Aston Martin Vantage, <S> Aston Martin V8 <P> engine <O> 5.3 (litres), <S> Aston Martin DBS <P> manufacturer <O> Aston Martin]","""Mae'r Aston Martin V8, sydd â peiriant 5.3 liter, a'r Aston Martin DBS yn gyfryngau teithio cysylltiedig ac mae'r Aston Martin Vantage yn dilyn Aston Martin DBS a gynhyrchir gan Aston Martin.",Welsh
1912,Food,(X (X) (X)),sibling,"[<S> Asam pedas <P> country <O> Malaysia, <S> Asam pedas <P> region <O> Malay Peninsula]","""Asam pedas  bled, sy'n cwrdd ar hanner ynys Malakk yn Malasia."", ""Asam pedas - bwyd o Malasia, sy'n lleoli yn rhanbarth Malakk."", ""Asam pedas - is a dish from Malakki, Malasia"".",Welsh
3057,WrittenWork,(X (X)),,[<S> A Loyal Character Dancer <P> language <O> English language],"""Mae'r Ddancer Charakter ffyddlon yn cael ei ysgrifennu yn Saesneg"".",Welsh
12757,WrittenWork,(X (X (X)) (X (X) (X))),mixed,"[<S> Above the Veil <P> followedBy <O> Into Battle (novel), <S> Aenir <P> country <O> Australians, <S> Into Battle (novel) <P> followedBy <O> The Violet Keystone, <S> Above the Veil <P> precededBy <O> Aenir, <S> Aenir <P> precededBy <O> Castle (novel)]","""Mae Aenir yn arolygfa Awstralia a gynhaliwyd gan y nofel Castle. Y mae Above the Veil yn dilyn Aenir a dilynwyd gan Into Battle a The Violet Keystone. """,Welsh
2810,SportsTeam,(X (X)),,[<S> Christian Panucci <P> club <O> A.S. Roma],"""Mae Christian Panucci yn chwarae yn y AS Roma"", ""Mae Christian Panucci yn y club AS Roma"", ""Mae Christian Panucci yn chwarae ar gyfer AS Roma"".",Welsh
