id,category,shape,shape_type,triples,lexicalization,prefix
4180,Food,(X (X) (X (X) (X))),mixed,"[<S> Binignit <P> ingredient <O> Sweet potato, <S> Sweet potato <P> division <O> Flowering plant, <S> Binignit <P> mainIngredient <O> Taro, <S> Sweet potato <P> order <O> Solanales]","""Batat (a ddylid i planhigion ffloedd ac o'r rhannau pasglonowsvetne) i Tarot - it's an ingredients of sup Binignit. "" "" ""Ein o brif ingredient o sup Binignit - tarot.",Welsh
3336,University,(X (X) (X) (X)),sibling,"[<S> AWH Engineering College <P> established <O> 2001, <S> AWH Engineering College <P> academicStaffSize <O> 250, <S> AWH Engineering College <P> state <O> Kerala]","""Mae gan y wladwriaeth o Kerala 250 o weithwyr gwyddonol yn y Coleg Gwaith Awdd. Sefydlwyd y Coleg yn 2001. """,Welsh
909,Food,(X (X)),,"[<S> Beef kway teow <P> mainIngredient <O> ""Kway teow, beef tender loin, gula Melaka, sliced, dried black beans, garlic, dark soy sauce, lengkuas, oyster sauce, soya sauce, chilli and sesame oil""]","""Kuwaai тяу, нежная говяжья выреза, sachar palm, wedi'i dorri gyda'r lwmticiadau llym o'r bobiau sych, garwnc, saws soeau tywyll, imbir, saws o'r strwyth, saws soeau, pecs chili a кунжутное масло  prif gynhwysion coetiau c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c",Welsh
5291,SportsTeam,(X (X (X))),chain,"[<S> A.C. Lumezzane <P> manager <O> Michele Marcolini, <S> Michele Marcolini <P> club <O> Atalanta B.C.]","""Mae Michel Marcolini yn rheoli AC Lumezzane ac yn chwarae ar gyfer Atalanta BC"", ""Mae Michel Marcolini wedi rheoli AC Lumezzane.",Welsh
7263,Food,(X (X) (X) (X)),sibling,"[<S> Bandeja paisa <P> region <O> Paisa Region, <S> Bandeja paisa <P> ingredient <O> Chorizo, <S> Bandeja paisa <P> country <O> Colombian cuisine]","""Mae chorizo yn gynhwysion yn Bandeja paisa sy'n rhan o gegin Colombians ac yn dod o'r rhanbarth Paisa. "" ""Mae chorizo yn gynhwysion yn ddŵr Colombian o Bandeja paisa sy'n dod o'r rhanbarth Paisa. """,Welsh
640,CelestialBody,(X (X)),,[<S> 1097 Vicia <P> orbitalPeriod <O> 135589000.0],"""1097 Vitio sydd â cyfnod orbiadol 135589000,0."", ""Period orbiadol 1097 Vitio - 135589000,0."", ""Period orbiadol 1097 Vitio - 135589000,0.""",Welsh
4556,Food,(X (X (X))),chain,"[<S> Asam pedas <P> country <O> Malaysia, <S> Malaysia <P> ethnicGroup <O> Malaysian Chinese]","""Mae Malesia yn cynnwys y Chinasiaidd Malesiaidd ac mae'n lle i'r bysg: pedas Asam. """", Mae'r Chinasiaidd Malesiaidd yn grŵp ethnig yn Malesia lle mae pedas Asam yn fwyd lleol. "", ""Mae pedas Asam yn fwyd a ddarostyngir yn Malesia lle mae Chinasiaidd Malesiaidd yn grŵp ethnig. """,Welsh
11653,Building,(X (X (X) (X (X) (X)))),mixed,"[<S> Asser Levy Public Baths <P> location <O> New York City, <S> New York City <P> country <O> United States, <S> Manhattan <P> leader <O> Cyrus Vance, Jr., <S> Manhattan <P> isPartOf <O> New York, <S> New York City <P> isPartOf <O> Manhattan]","""Mae'r Baths Cyhoeddus Asser Levy yn Manhattan New York City, New York, Unol Daleithiau. Mae arweinydd Manhattan yn Cyrus Vance Jr. """,Welsh
1359,Airport,(X (X (X))),chain,"[<S> Agra Airport <P> operatingOrganisation <O> Indian Air Force, <S> Indian Air Force <P> transportAircraft <O> Boeing C-17 Globemaster III]","""Mae gan Orffwys Orfodol India awyrgylch arbennydd o'r enw Boeing C-17 Globemaster III, ac maent hefyd yn rheoli maes awyr Agra. """,Welsh
9484,City,(X (X) (X (X) (X))),mixed,"[<S> Arlington, Texas <P> isPartOf <O> Tarrant County, Texas, <S> Arlington, Texas <P> isPartOf <O> Texas, <S> Texas <P> country <O> United States, <S> Texas <P> largestCity <O> Houston]","""Arlington, Sir Tarrant yn Texas, sydd â'i ddinas fwyaf fel Houston, ac mae'n lleoli yn yr Unol Daleithiau. """",Arlington yn ardal Tarrant, Texas (dinas fwyaf Houston) yn Unol Daleithiau America. """",Arlington yn rhan o Sir Tarrant yn yr Unol Daleithiau. Mae'n lleoli yn Texas, lle mae'r ddinas fwyaf yn Houston"".",Welsh
4840,MeanOfTransportation,(X (X) (X)),sibling,"[<S> Abarth 1000 GT Coupé <P> bodyStyle <O> Coupé, <S> Abarth 1000 GT Coupé <P> engine <O> Straight-four engine]","""Mae gan Abarth 1000 GT arddull boddy'r coupe ac mae ganddo enjin rhagdd a phwar. """,Welsh
2360,Airport,(X (X) (X) (X)),sibling,"[<S> Al Asad Airbase <P> operatingOrganisation <O> United States Air Force, <S> Al Asad Airbase <P> runwayLength <O> 3992.88, <S> Al Asad Airbase <P> location <O> ""Al Anbar Province, Iraq""]","""Mae Arfordir Al Assad yn lleoli yn arfwys Al Anbar, Irak, mae'n cael ei reoli gan Lluoedd Aerolygol yr Unol Daleithiau ac mae ganddo sbalw-sedigaeth 3992,88 metr"", ""Mae Lluoedd Aerolygol yr Unol Daleithiau yn sefydliad rheoleiddio ar gyfer Arfordir Al Assad, sydd wedi'i leoli yn Arfwys Al Anbar, Irak, mae arfordir yn cael sbalw-sedigaeth 3992,88 metr"", ""Mae Arfordir Al Assad, sydd yn reoli'r ar",Welsh
1133,Building,(X (X)),,[<S> London <P> leaderTitle <O> Parliament of the United Kingdom],"""Mae Senedd y Deyrnas Unedig yn arweinydd Llundain"".",Welsh
2957,University,(X (X)),,[<S> European University Association <P> headquarter <O> Brussels],"""Mae prif swyddfa Cymdeithas Ynybyddiaeth Ewropeaidd yn Brussels.",Welsh
4036,Food,(X (X (X) (X) (X))),mixed,"[<S> Bacon Explosion <P> country <O> United States, <S> United States <P> leader <O> John Roberts, <S> United States <P> ethnicGroup <O> African Americans, <S> United States <P> capital <O> Washington, D.C.]","""Mae'r Unol Daleithiau America - y wlad y Bresg y Byd. Mae John Glover Roberts - arweinydd y Unol Daleithiau America, a prifddinas y wlad - Washington. Mae AfroAmericans - un o grwpiau ethnig y wlad. """,Welsh
96,Airport,(X (X)),,"[<S> Alpena County Regional Airport <P> cityServed <O> Alpena, Michigan]","""Mae maes awyr rhanbarthol sir Alpena County yn gwasanaethu Alpena, Michigan. """", Mae maes awyr rhanbarthol sir Alpena County yn gwasanaethu sir Alpena, Michigan. """", Mae maes awyr rhanbarthol sir Alpena County yn gwasanaethu Alpena, Michigan. """,Welsh
7778,Politician,(X (X) (X) (X)),sibling,"[<S> Adonis Georgiadis <P> birthPlace <O> Greece, <S> Adonis Georgiadis <P> office <O> ""Spokesman of Popular Orthodox Rally"", <S> Adonis Georgiadis <P> birthPlace <O> Athens]","""Gwelir Adonis Georgiadis yn Athen, Gres, ac roedd yn siaradwr Rally Orthodoc Pobl. """",Gwelir yn Athen, Gres, roedd Adonis Georgiadis yn gweithio ar gyfer swyddfa siaradwr Rally Orthodoc Pobl. """",Gwelir Adonis Georgiadis yn Athen, Gres a oedd yn siaradwr Rally Orthodoc Pobl"".",Welsh
1264,CelestialBody,(X (X)),,[<S> 107 Camilla <P> periapsis <O> 479343000.0 (kilometres)],"""Mae periapsis 107 Camilla yn 479343000.0 (kilometrau)."", ""107 Camilla yn periapsis 479343000.0 chilometrau. """,Welsh
9888,Food,(X (X) (X) (X) (X)),sibling,"[<S> Barny Cakes <P> dishVariation <O> Chocolate, <S> Barny Cakes <P> protein <O> 1.8 g, <S> Barny Cakes <P> carbohydrate <O> 18.0 g, <S> Barny Cakes <P> fat <O> 4.8 g]","""Gall cekeu barny fod yn blasiau siocled. Mae'n cynnwys 1.8 g o protein, 18 g o carbohydrates a 4.8 g o gaeaf. """,Welsh
3043,Food,(X (X) (X) (X)),sibling,"[<S> Bandeja paisa <P> region <O> Paisa Region, <S> Bandeja paisa <P> ingredient <O> Chicharrón, <S> Bandeja paisa <P> country <O> Colombian cuisine]","""Bandeha paisa, yn cynnwys chicharron, yn deillio o ardal Pisa ac yn rhan o gegin colombi."", ""Bandeha paisa - is a traditional dish from region Pisa, colombian cuisine. Ingredient, Chicharron  ingredient, yn cynnwys yn y gegin hwn."", ""Bandeha paisa, sy'n cynnwys chicharron, o ardal Pisa. Eto ddŵr o Colombia"".",Welsh
5742,Airport,(X (X) (X) (X)),sibling,"[<S> Alderney Airport <P> 1stRunwaySurfaceType <O> Poaceae, <S> Alderney Airport <P> runwayLength <O> 497.0, <S> Alderney Airport <P> cityServed <O> Alderney]","""Mae Aeroport Alderney yn gwasanaethu gan Aeroport Alderney. Mae 1st runway y maes awyr hwn wedi'i wneud o Poaceae ac mae ganddo lewdyn 497.0."", ""Mae 1st runway aerodrwm Alderney, sy'n gwasanaethu dinas Alderney, wedi'i wneud o poaceae ac mae 497.0 o hyd.",Welsh
4092,CelestialBody,(X (X) (X)),sibling,"[<S> 107 Camilla <P> discoverer <O> B. Zellner, <S> 107 Camilla <P> epoch <O> 2006-12-31]","""B. Zellner a ddarganfod 107 Camilla, sydd â dyddiad epoc o 31 Rhagfyr 2006."", ""B. Zellner oedd darganfod 107 Camilla, sydd â dyddiad epoc o 31 Rhagfyr 2006."", ""107 Camilla, a ddarganfod gan B Zellner, sydd â dyddiad epoc 31 Rhagfyr 2006.""",Welsh
8139,University,(X (X) (X (X))),mixed,"[<S> Mendrisio <P> neighboringMunicipality <O> Meride, <S> Accademia di Architettura di Mendrisio <P> established <O> 1996, <S> Accademia di Architettura di Mendrisio <P> city <O> Mendrisio]","""Gwarerwyd Academia di Architettura di Mendrisio yn 1996. ""Gwarerwyd Academia di Architettura di Mendrisio yn 1996. ""Gwarerwyd Academia di Architettura di Mendrisio yn 1996. ""Gwarerwyd Academia di Architettura di Mendrisio yn 1996.",Welsh
1592,Building,(X (X (X))),chain,"[<S> AC Hotel Bella Sky Copenhagen <P> tenant <O> Marriott International, <S> Marriott International <P> keyPerson <O> Bill Marriott]","""Mae Marriott International, gyda Bill Mariott yn arweinydd allweddol, yn rhentuwr Hotel Bella Sky Copenhagen. """,Welsh
3071,WrittenWork,(X (X)),,"[<S> A Wizard of Mars <P> isbnNumber <O> ""978-0-15-204770-2""]","""Mae rhif ISBN Wizard of Mars yn ""978-0-15-204770-2""."", ""Mae rhif ISBN Wizard of Mars yn 978-0-15-204770-2."", ""Mae rhif ISBN Wizard of Mars yn ""978-0-15-204770-2"".",Welsh
145,Airport,(X (X)),,[<S> Antwerp International Airport <P> cityServed <O> Antwerp],"""Mae Aerfoad Rhyngwladol Antwerpen yn gwasanaethu'r ddinas Antwerpen. """", Mae Antwerpen yn gwasanaethu Aerfoad Rhyngwladol Antwerpen. """,Welsh
5339,SportsTeam,(X (X) (X)),sibling,"[<S> A.S. Gubbio 1910 <P> season <O> 2014–15 Lega Pro, <S> A.S. Gubbio 1910 <P> numberOfMembers <O> 5300]","""Mae gan A.S. Gubbio 1910 5300 o aelodau a oedd yn rhan o'r tymor 201415 Lega Pro."", ""Mae gan A.S. Gubbio 1910 5300 o aelodau a oedd yn y tymor 2014-15 yn y Lega Pro."", ""Roedd gan A.S. Gubbio 1910 yn rhan o'r tymor 201415 Lega Pro, mae ganddo 5300 o aelodau"".",Welsh
8663,Artist,(X (X) (X) (X (X))),mixed,"[<S> Ahmet Ertegun <P> deathPlace <O> New York City, <S> Ahmet Ertegun <P> origin <O> Washington, D.C., <S> Ahmet Ertegun <P> origin <O> United States, <S> United States <P> ethnicGroup <O> African Americans]","""Mae Ahmed Ertegun yn dod o Washington, D.C. yn yr Unol Daleithiau. Mae'n marw yn Dinas Efrog Newydd. Mae un grŵp ethnig yn yr Unol Daleithiau yn Afro-Amerigwyr. """", Mae Ahmed Ertegun yn dod o Washington D.C. yn yr Unol Daleithiau, lle mae Afro-Amerigwyr yn grŵp ethnig. Mae'n marw yn Dinas Efrog Newydd. """"Mae Ahmed Ertegun yn wreiddiol o Washington, D.C. ac mae'n marw yn Dinas Efrog Newydd. Mae'r",Welsh
3556,Airport,(X (X (X)) (X (X))),mixed,"[<S> Egg Harbor Township, New Jersey <P> isPartOf <O> New Jersey, <S> Atlantic City International Airport <P> operatingOrganisation <O> Port Authority of New York and New Jersey, <S> Port Authority of New York and New Jersey <P> headquarter <O> New York, <S> Atlantic City International Airport <P> location <O> Egg Harbor Township, New Jersey]","""Mae Aeroport Rhyngwladol Atlantic City, sy'n lleoli yn y ddinas Egg Harbor, stat New Jersey, yn cael ei reoli gan Port Authority New York a New Jersey, sy'n lleoli yn New York.",Welsh
1049,SportsTeam,(X (X)),,[<S> A.C. Cesena <P> numberOfMembers <O> 23900],"""Mae'r FK ""Chezen"" yn cynnwys 23900 o aelodau"".",Welsh
3638,Building,(X (X) (X) (X (X))),mixed,"[<S> 103 Colmore Row <P> floorCount <O> 23, <S> 103 Colmore Row <P> location <O> Colmore Row, <S> 103 Colmore Row <P> architect <O> John Madin, <S> John Madin <P> birthPlace <O> Birmingham]","""Roedd John Madin (a anwyd yn Birmingham) yn archweithiwr adeilad ar ddres Colmor-rwyd 103 ar Colmor-rwyd, yn y 23 floes."", ""Roedd adeilad o 23 floes ar ddres Colmor-rwyd 103, sydd ar Colmor-rwyd, wedi'i gynllunio gan Bendigedigydd Birmingham, John Madin.",Welsh
3084,Food,(X (X) (X (X))),mixed,"[<S> Bhajji <P> country <O> India, <S> Bhajji <P> region <O> Karnataka, <S> Karnataka <P> leader <O> Vajubhai Vala]","""Vadzhubhhai Vala - arweinydd rhanbarth Karnataka yn India, o ble mae bhadji'n digwydd. """,Welsh
11406,Astronaut,(X (X) (X) (X) (X (X))),mixed,"[<S> Alan Shepard <P> occupation <O> Test pilot, <S> Distinguished Service Medal (United States Navy) <P> higher <O> Department of Commerce Gold Medal, <S> Alan Shepard <P> birthPlace <O> New Hampshire, <S> Alan Shepard <P> dateOfRetirement <O> ""1974-08-01"", <S> Alan Shepard <P> award <O> Distinguished Service Medal (United States Navy)]","""Bornodd Alan Shepard yn New Hampshire ac fe wasanaethodd fel peilot prawf. Cyn iddo ymddeol ar 1 Awst 1974, rhoddodd y Llyfrgell Arfog yr Unol Daleithiau y Medal Gwasanaeth Anog, sy'n cael ei ranggor uwch na Medal Aur Adran Affari.",Welsh
12944,Monument,(X (X) (X) (X) (X) (X) (X)),sibling,"[<S> 11th Mississippi Infantry Monument <P> location <O> Seminary Ridge, <S> 11th Mississippi Infantry Monument <P> location <O> Adams County, Pennsylvania, <S> 11th Mississippi Infantry Monument <P> state <O> ""Pennsylvania"", <S> 11th Mississippi Infantry Monument <P> established <O> 2000, <S> 11th Mississippi Infantry Monument <P> category <O> Contributing property, <S> 11th Mississippi Infantry Monument <P> municipality <O> Gettysburg, Pennsylvania]","""Mae'r 11eg Mynydd Infantry Mississippi yn cael ei sefydlu yn 2000 ac mae'n cael ei dargedu fel eiddo cyfrannu. """,Welsh
91,Airport,(X (X)),,[<S> Allama Iqbal International Airport <P> runwayLength <O> 2900.0],"""Mae dirwedd y maes awyr rhyngwladol Lahore yn 2900,0. """,Welsh
4543,Airport,(X (X) (X) (X) (X) (X)),sibling,"[<S> Allama Iqbal International Airport <P> location <O> Pakistan, <S> Allama Iqbal International Airport <P> runwayLength <O> 3360.12, <S> Allama Iqbal International Airport <P> operatingOrganisation <O> Pakistan Civil Aviation Authority, <S> Allama Iqbal International Airport <P> cityServed <O> Lahore, <S> Allama Iqbal International Airport <P> runwayName <O> ""18L/36R""]","""Mae maes awyr Lahor sydd yn Pakistan yn cael ei arwain gan Ystyryddiaeth Adfan Sifil Pakistan. Mae'r maes awyr yn gwasanaethu dinas Lahor, mae ganddo llinell hedfan-ddyfwng 18L/36R a llinell hedfan-ddyfwng, sy'n cyfanswm 3360.12 mewn hyd.",Welsh
359,Artist,(X (X)),,"[<S> Ahmet Ertegun <P> alternativeName <O> ""A. Nugetre""]","""Mae enw arall Ahmet Ertegun yn A. Nugetre. "" ""Mae gan Ahmet Ertegun enw arall A. Nugetre. "" ""Mae Ahmed Ertegun yn mynd trwy'r enw arall A. Nugetre. """,Welsh
13161,University,(X (X) (X) (X) (X) (X (X) (X))),mixed,"[<S> Accademia di Architettura di Mendrisio <P> country <O> Switzerland, <S> Accademia di Architettura di Mendrisio <P> dean <O> Mario Botta, <S> Accademia di Architettura di Mendrisio <P> established <O> 1996, <S> Accademia di Architettura di Mendrisio <P> city <O> Mendrisio, <S> Accademia di Architettura di Mendrisio <P> numberOfStudents <O> 600, <S> Switzerland <P> leaderTitle <O> Federal Chancellor of Switzerland, <S> Switzerland <P> leader <O> Johann Schneider-Ammann]","""Mae arweinydd yr Alban yn Ganselwr Fedredol Johann Schneider-Ammann. Mae'r wlad yn lleoliad y Academia di Architettura di Mendrisio a sefydlwyd yn ddinas Mendrisio yn 1996. Mae'r Academia yn cael ei arwain gan Ddin Mario Botta ac mae 600 o fyfyrwyr.",Welsh
4576,Airport,(X (X (X) (X) (X) (X))),mixed,"[<S> Andrews County Airport <P> location <O> Texas, <S> Texas <P> largestCity <O> Houston, <S> Texas <P> capital <O> Austin, Texas, <S> Texas <P> language <O> English language, <S> Texas <P> demonym <O> Texan]","""Mae awyrennau'r ardal Andrews yn lleoli yn Texas, lle mae Houston - y ddinas a'r brifddinas fwyaf - Austin. Mae gan drigolion lleol enw demoniwm Texas a'u defnyddir iaith Saesneg. """,Welsh
1128,SportsTeam,(X (X)),,"[<S> AFC Ajax <P> fullName <O> ""Amsterdamsche Football Club Ajax""]","""Folly name FK Аяx - ""Amsterdamsky fotbwl club Аяx""."", ""Folly name Аяx - Amsterdamsky fotbwl club Аякс"".",Welsh
2648,Politician,(X (X)),,[<S> United Kingdom <P> capital <O> London],"""Mae Llundain yn brifddinas y DU"", ""Mae Llundain yn brifddinas y Deyrnas Unedig"".",Welsh
3694,Athlete,(X (X) (X)),sibling,"[<S> Adam McQuaid <P> birthPlace <O> Charlottetown, <S> Adam McQuaid <P> birthYear <O> 1986]","""Cerwyd Adam McQuaid yn Charlottetown yn 1986. "" ""Cerwyd Adam McQuaid yn 1986, yn Charlottetown"".",Welsh
8758,Artist,(X (X) (X) (X) (X)),sibling,"[<S> Allen Forrest <P> genre <O> Rhythm and blues, <S> Allen Forrest <P> birthYear <O> 1981, <S> Allen Forrest <P> birthPlace <O> Dothan, Alabama, <S> Allen Forrest <P> background <O> ""solo singer""]","""Canedodd Allen Forrest yn 1981 yn Dothan, Alabama. "" ""Canedodd Allen Forrest yn Dothan, Alabama yn 1981.",Welsh
7318,Food,(X (X) (X) (X)),sibling,"[<S> Binignit <P> ingredient <O> Sweet potato, <S> Binignit <P> mainIngredient <O> Coconut milk, <S> Binignit <P> country <O> Philippines]","""Mae llaeth cocos a potatoes troth yn brif gynhwysion o'r ddŵr binignit, y gellir ei gael yn y Ffilïpiynau. """", Mae potatoes troth a llaeth cocos yn brif gynhwysion yn y ddŵr Binignit sy'n dod o'r Ffilïpiynau. """", Mae potatoes troth yn y ddŵr Philippin o binignit ynghyd â prif gynhwysion o llaeth cocos"".",Welsh
2151,MeanOfTransportation,(X (X)),,"[<S> Alfa Romeo 164 <P> alternativeName <O> ""Alfa Romeo 168""]","""Mae enw arall y Alfa Romeo 164 yn Alfa Romeo 168. "" ""Mae'r Alfa Romeo 164 hefyd yn cael ei adnabod fel ""Alfa Romeo 168"".",Welsh
18,Airport,(X (X)),,"[<S> Abilene Regional Airport <P> icaoLocationIdentifier <O> ""KABI""]","""Mae'r Dysgrif Adroddiad Lleol ICAO Aeroport Reialadwy Abilene yn KABI."", ""Mae'r Dysgrif Adroddiad Lleol ICAO Aeroport Reialadwy Abilene yn KABI."", ""Mae'r Dysgrif Adroddiad Lleol ICAO Aeroport Reialadwy Abilene yn KABI"".",Welsh
8866,Astronaut,(X (X) (X) (X (X))),mixed,"[<S> Alan Shepard <P> almaMater <O> ""NWC, M.A. 1957"", <S> Alan Shepard <P> mission <O> Apollo 14, <S> Alan Shepard <P> dateOfRetirement <O> ""1974-08-01"", <S> Apollo 14 <P> operator <O> NASA]","""Yn 1957 gradwsodd Alan Shepard o'r NWC gyda M.A. ac yn ddiweddarach daeth yn aelod o'r clwb Apollo 14 fel y dewisodd NASA cyn ymddeol ar 1 Awst, 1974. """,Welsh
3362,University,(X (X) (X (X))),mixed,"[<S> Acharya Institute of Technology <P> wasGivenTheTechnicalCampusStatusBy <O> All India Council for Technical Education, <S> All India Council for Technical Education <P> location <O> Mumbai, <S> Acharya Institute of Technology <P> city <O> Bangalore]","""Mae Institwât Acharya yn lleoli yn Bangalore. Mae wedi cael statws ""Technický Kampus"" gan y Cyngor Uddangosedd Technegol y Byd, sy'n lleoli yn Mumbai. """,Welsh
10454,Politician,(X (X (X)) (X (X))),mixed,"[<S> Airey Neave <P> unit <O> Royal Artillery, <S> Royal Artillery <P> garrison <O> Hohne, <S> Airey Neave <P> battle <O> World War II, <S> World War II <P> commander <O> Benito Mussolini]","""Mae Hohne yn un o garnigioniau'r Artillery Brenhinol, yr uned y gwasanaethodd Airey Neave ynddo. Bu Airey Neave yn ymladd yn yr Ail Ryfel Byd, yn ystod yr oedd un o'r rhai a oedd yn ei gorchymynwyr yn benito Mussolini. """,Welsh
4237,Monument,(X (X) (X (X) (X))),mixed,"[<S> Adams County, Pennsylvania <P> hasToItsWest <O> Franklin County, Pennsylvania, <S> Adams County, Pennsylvania <P> hasToItsNorth <O> Cumberland County, Pennsylvania, <S> 11th Mississippi Infantry Monument <P> category <O> Contributing property, <S> 11th Mississippi Infantry Monument <P> location <O> Adams County, Pennsylvania]","""Cylle Adams, stat Pennsylvania, sy'n lleoli i'r dwyrain o sir Franklin a'r de o sir Cumberland. Dyma le lleoliad y Cofndir 11ol y Cylle Mississipi, sy'n cael ei gymharu â chynnwysfeydd sy'n cynrychioli gwerth hanesyddol.",Welsh
8417,Airport,(X (X (X) (X) (X))),mixed,"[<S> Abilene Regional Airport <P> cityServed <O> Abilene, Texas, <S> Abilene, Texas <P> isPartOf <O> Taylor County, Texas, <S> Abilene, Texas <P> country <O> United States, <S> Abilene, Texas <P> isPartOf <O> Jones County, Texas]","""Mae maes awyr rhanbarthol Abilene yn gwasanaethu ddinas Abilene, rhan o Sir Taylor a Sir Jones, Texas, Unol Daleithiau. """", Mae maes awyr rhanbarthol Abilene, Texas yn gwasanaethu. Mae Abilene yn byw yn sir Taylor a Jones o fewn yr Unol Daleithiau. """", Gwasanaethau maes awyr rhanbarthol Abilene, Sir Jones a Taylor, Texas (Y Unol Daleithiau). """,Welsh
3698,Building,(X (X) (X (X) (X))),mixed,"[<S> 3Arena <P> owner <O> Live Nation Entertainment, <S> Dublin <P> leaderTitle <O> Dáil Éireann, <S> Dublin <P> country <O> Republic of Ireland, <S> 3Arena <P> location <O> Dublin]","Mae'r 3Arena yn cael ei leoli yn Dublin, Gwlad Iwerddon, ac mae'n perthyn i Lywodraeth Cymru.",Welsh
